severity,resolved_by,is_resolved,resolved_at,flag_type,description,application_number,organization_name,resolution_notes,application_id,id,created_date,updated_date,created_by_id,created_by,is_sample
"Critical","","false","","FinancialDiscrepancy","Procurement Risk: Equipment purchase of $380,000 exceeds the $250,000 federal threshold without a Competitive Bid or Sole Source procurement method designation.","APP-2025-NE-DCO-001","Douglas County Emergency Management","","6a075bd4302c4d3a31ab2ef4","6a085c647f79f9f6ff70a027","2026-05-16T12:00:36.775000","2026-05-16T12:00:36.775000","service_c0b27b58-c5c5-42c9-b5a3-1c71e916c1ae","service+c0b27b58-c5c5-42c9-b5a3-1c71e916c1ae@no-reply.base44.com","false"
"Critical","","false","","FinancialDiscrepancy","Expenditure variance of 80.0% detected. Awarded: $210,000, Expended: $42,000.","APP-2026-00012","DuPage County Emergency Management","","6a01c94a62c4a2cbad8c59b6","6a02176307dbcf7dfc841597","2026-05-11T17:52:35.671000","2026-05-11T17:52:35.671000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Critical","","false","","FinancialDiscrepancy","Expenditure variance of 67.0% detected. Awarded: $285,000, Expended: $94,000.","APP-2025-00010","City of Rockford","","6a01c94a62c4a2cbad8c59b4","6a021762812ef8d38ab48cdc","2026-05-11T17:52:34.747000","2026-05-11T17:52:34.747000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Critical","","false","","FinancialDiscrepancy","Expenditure variance of 45.0% detected. Awarded: $340,000, Expended: $187,000.","APP-2025-00009","DuPage County Emergency Management","","6a01c94a62c4a2cbad8c59b3","6a0217614f8dcb5d791d185d","2026-05-11T17:52:33.732000","2026-05-11T17:52:33.732000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Critical","","false","","FinancialDiscrepancy","Expenditure variance of 70.0% detected. Awarded: $210,000, Expended: $63,000.","APP-2026-NE-003","Douglas County Emergency Management","","6a0210609f78b27b0b54cdc9","6a0217607b7298c8ec177d27","2026-05-11T17:52:32.773000","2026-05-11T17:52:32.773000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Critical","","false","","FinancialDiscrepancy","Expenditure variance of 55.0% detected. Awarded: $405,000, Expended: $182,250.","APP-2025-NE-001","Nebraska Emergency Management Agency","","6a0210609f78b27b0b54cdc7","6a02175f9ec01a3e60c28b0d","2026-05-11T17:52:31.753000","2026-05-11T17:52:31.753000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Medium","","false","","FinancialDiscrepancy","Expenditure rate of 78% with 2 months remaining in performance period. Closeout documentation should be initiated.","APP-2025-NE-002","City of Omaha Emergency Management","","6a0210609f78b27b0b54cdc8","6a0210999f78b27b0b54ce0b","2026-05-11T17:23:37.191000","2026-05-11T17:23:37.191000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"High","","false","","MissingDocument","Signed subaward agreement has not been uploaded. Required before additional reimbursements can be processed.","APP-2025-NE-002","City of Omaha Emergency Management","","6a0210609f78b27b0b54cdc8","6a0210999f78b27b0b54ce0c","2026-05-11T17:23:37.191000","2026-05-11T17:23:37.191000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"High","","false","","OverdueReport","Q3 FY2026 quarterly progress report was due April 15, 2026 and has not been submitted.","APP-2025-NE-001","Nebraska Emergency Management Agency","","6a0210609f78b27b0b54cdc7","6a0210999f78b27b0b54ce0a","2026-05-11T17:23:37.191000","2026-05-11T17:23:37.191000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"High","","false","","OverdueReport","Quarterly report due 2026-01-15 is overdue.","APP-2025-00010","City of Rockford","","6a01c94a62c4a2cbad8c59b4","6a01ce53dcb070fdb81edfa8","2026-05-11T12:40:51.961000","2026-05-11T12:40:51.961000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Medium","","false","","MissingDocument","Signed subaward agreement has not been uploaded. Required before reimbursements can be processed.","APP-2025-00010","City of Rockford","","6a01c94a62c4a2cbad8c59b4","6a01c97b62c4a2cbad8c59f2","2026-05-11T12:20:11.853000","2026-05-11T12:20:11.853000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Medium","lauren.martin29@gmail.com","true","2026-04-20T14:00:00Z","MissingDocument","Final budget justification narrative is missing from the application file.","APP-2026-00005","Integrated Solutions Consulting","Subrecipient uploaded the missing document on 4/20/2026. Issue resolved.","69cd8225975992b7f13eb52e","6a01c97b62c4a2cbad8c59f5","2026-05-11T12:20:11.853000","2026-05-11T12:20:11.853000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"High","","false","","OverdueReport","Q3 FY2026 progress report was due April 15, 2026 and has not been submitted.","APP-2025-00009","DuPage County Emergency Management","","6a01c94a62c4a2cbad8c59b3","6a01c97b62c4a2cbad8c59f1","2026-05-11T12:20:11.853000","2026-05-11T12:20:11.853000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"Low","","false","","FinancialDiscrepancy","Expenditure rate of 78% with 2 months remaining exceeds projected spend pace. Closeout documentation should be prepared.","APP-2025-00011","City of Aurora","","6a01c94a62c4a2cbad8c59b5","6a01c97b62c4a2cbad8c59f3","2026-05-11T12:20:11.853000","2026-05-11T12:20:11.853000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"High","","false","","MatchShortfall","Match documentation submitted is $8,200 short of the required 10% cost-share minimum.","APP-2025-00003","Cook County Office of Emergency Management","","69cd78a1276f3069e72bfa59","6a01c97b62c4a2cbad8c59f4","2026-05-11T12:20:11.853000","2026-05-11T12:20:11.853000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
