notes,due_date,description,organization_name,title,application_id,completed_date,program_code,organization_id,milestone_type,application_number,status,assigned_to,reminder_sent,id,created_date,updated_date,created_by_id,created_by,is_sample
"","2026-03-31","All dispatchers and first responders trained on P25 protocols and new equipment.","City of Omaha Emergency Management","First Responder Training Complete","6a0210609f78b27b0b54cdc8","","UASI","6a02103b9f78b27b0b54cdb8","Custom","APP-2025-NE-002","Overdue","tgarcia@cityofomaha.org","","6a0210989f78b27b0b54ce07","2026-05-11T17:23:36.948000","2026-05-11T17:23:36.948000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"","2026-12-31","Emergency Operations Plan updated, reviewed, and signed by EM Director and CEO.","Douglas County Emergency Management","EOP Update Completed","6a0210609f78b27b0b54cdc9","","EMPG","6a02103b9f78b27b0b54cdb9","Custom","APP-2026-NE-003","Upcoming","bwilson@douglascounty.ne.gov","","6a0210989f78b27b0b54ce08","2026-05-11T17:23:36.948000","2026-05-11T17:23:36.948000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"","2026-04-30","Conduct full-scale statewide HAZMAT exercise with multi-agency participation and after-action review.","Nebraska Emergency Management Agency","Statewide HAZMAT Exercise","6a0210609f78b27b0b54cdc7","","SHSP","6a02103b9f78b27b0b54cdb7","Custom","APP-2025-NE-001","Overdue","jsmith@nema.ne.gov","","6a0210989f78b27b0b54ce04","2026-05-11T17:23:36.948000","2026-05-11T17:23:36.948000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"","2025-10-31","All detection and protective equipment procured and distributed to 6 regional teams.","Nebraska Emergency Management Agency","HAZMAT Equipment Procurement Complete","6a0210609f78b27b0b54cdc7","2025-10-24","SHSP","6a02103b9f78b27b0b54cdb7","ProjectKickoff","APP-2025-NE-001","Completed","jsmith@nema.ne.gov","","6a0210989f78b27b0b54ce02","2026-05-11T17:23:36.948000","2026-05-11T17:23:36.948000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"","2026-01-31","Training delivered to all 6 regional HAZMAT teams across the state.","Nebraska Emergency Management Agency","Advanced HAZMAT Training Delivered","6a0210609f78b27b0b54cdc7","2026-01-22","SHSP","6a02103b9f78b27b0b54cdb7","MidTermReview","APP-2025-NE-001","Completed","jsmith@nema.ne.gov","","6a0210989f78b27b0b54ce03","2026-05-11T17:23:36.948000","2026-05-11T17:23:36.948000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"","2025-09-30","All 12 site assessments finalized and radio equipment procurement initiated.","City of Omaha Emergency Management","Site Assessments and Procurement Complete","6a0210609f78b27b0b54cdc8","2025-09-18","UASI","6a02103b9f78b27b0b54cdb8","ProjectKickoff","APP-2025-NE-002","Completed","tgarcia@cityofomaha.org","","6a0210989f78b27b0b54ce05","2026-05-11T17:23:36.948000","2026-05-11T17:23:36.948000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"","2025-12-31","P25 gateway equipment installed and operational at all 12 designated sites.","City of Omaha Emergency Management","Gateway Installation Complete - All 12 Sites","6a0210609f78b27b0b54cdc8","2025-12-20","UASI","6a02103b9f78b27b0b54cdb8","MidTermReview","APP-2025-NE-002","Completed","tgarcia@cityofomaha.org","","6a0210989f78b27b0b54ce06","2026-05-11T17:23:36.948000","2026-05-11T17:23:36.948000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"","2027-03-31","Participate in statewide annual EMPG exercise and submit improvement plan.","Douglas County Emergency Management","Annual Exercise Participation","6a0210609f78b27b0b54cdc9","","EMPG","6a02103b9f78b27b0b54cdb9","Custom","APP-2026-NE-003","Upcoming","bwilson@douglascounty.ne.gov","","6a0210989f78b27b0b54ce09","2026-05-11T17:23:36.948000","2026-05-11T17:23:36.948000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"","2026-06-15","Conduct full-scale mass casualty incident exercise with multi-agency participation.","DuPage County Emergency Management","Full-Scale MCI Exercise","6a01c94a62c4a2cbad8c59b3","","SHSP","6a01c92862c4a2cbad8c59a1","","APP-2025-00009","NotStarted","jdoe@dupagecounty.gov","","6a01c97b62c4a2cbad8c59f9","2026-05-11T12:20:11.867000","2026-05-11T17:21:02.855000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"","2026-04-30","Train operations staff on new security protocols and monitoring systems.","City of Aurora","Staff Security Training","6a01c94a62c4a2cbad8c59b5","","UASI","6a01c92862c4a2cbad8c59a5","","APP-2025-00011","Overdue","rmartinez@aurora.gov","","6a01c97b62c4a2cbad8c59fe","2026-05-11T12:20:11.867000","2026-05-11T17:21:03.075000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
